top_words
"['2021', 'januari', 'refund', 'cancel', 'subscript', 'wa', 'number', 'request', 'invoic', 'canva', 'reason', 'charg', '2020', '01', 'thank', 'pro', 'decemb', 'thi', 'account', 'like', 'jan', 'pleas', 'payment', 'today', 'free', 'use', 'date', '12', 'did', 'problem']"
"['realli', 'refund', 'appreci', 'request', 'number', 'invoic', 'reason', 'forgot', 'cancel', 'use', 'subscript', 'thank', 'thi', 'sorri', 'wa', 'did', 'money', 'canva', 'right', 'need', 'pleas', 'hello', 'hi', 'month', 'trial', 'afford', 'time', 'free', 'servic', 'just']"
"['thought', 'refund', 'cancel', 'invoic', 'number', 'request', 'reason', 'subscript', 'thi', 'pleas', 'use', 'alreadi', 'wa', 'thank', 'did', 'charg', 'trial', 'canva', 'like', 'need', 'renew', 'servic', 'free', 'month', 'today', 'time', 'want', 'pro', 'hello', 'receiv']"
"['month', 'issu', 'problem', 'kind', 'describ', 'cancel', 'charg', 'ago', 'thi', 'subscript', 'pleas', 'wa', 'canva', 'refund', 'account', 'need', 'use', 'pro', 'thank', 'like', 'everi', 'got', 'money', 'continu', 'servic', 'want', 'hi', 'hello', 'unsubscrib', 'tri']"
"['debit', 'number', 'account', 'money', 'return', 'wa', 'fund', 'subscript', 'refund', 'request', 'reason', 'automat', 'use', 'card', 'ask', 'hello', 'did', 'renew', 'cancel', 'servic', 'today', 'pleas', 'plan', 'applic', 'rubl', 'trial', 'write', 'turn', 'period', 'want']"
"['featur', 'refund', 'use', 'pro', 'request', 'invoic', 'number', 'reason', 'cancel', 'subscript', 'ani', 'canva', 'charg', 'pleas', 'thi', 'thank', 'wa', 'did', 'trial', 'premium', 'sinc', 'renew', 'like', 'free', 'want', 'forgot', 'account', 'today', 'plan', 'befor']"
"['membership', 'cancel', 'refund', 'issu', 'kind', 'problem', 'describ', 'charg', 'want', 'request', 'pleas', 'wa', 'reason', 'invoic', 'number', 'thank', 'canva', 'did', 'pro', 'fee', 'like', 'thi', 'use', 'month', 'trial', 'forgot', 'hello', 'card', 'annual', 'renew']"
"['version', 'pro', 'free', 'use', 'want', 'canva', 'problem', 'refund', 'trial', 'cancel', 'number', 'help', 'request', 'like', 'reason', 'wa', 'invoic', 'describ', 'kind', 'need', 'charg', 'subscript', 'paid', 'thank', 'pleas', 'issu', 'onli', 'tri', 'account', 'just']"
"['relat', 'problem', 'money', 'describ', 'debit', 'subscript', 'return', 'hello', 'wa', 'use', 'cancel', 'card', 'applic', 'write', 'withdrawn', 'did', 'paid', 'fund', 'want', 'pro', 'version', 'whi', 'written', 'pleas', 'month', 'charg', 'payment', 'account', 'renew', 'period']"
"['want', 'problem', 'kind', 'describ', 'issu', 'subscript', 'cancel', 'refund', 'pleas', 'did', 'charg', 'money', 'wa', 'trial', 'canva', 'use', 'dont', 'year', 'pro', 'renew', 'thank', 'account', 'period', 'today', 'thi', 'continu', 'hello', 'pay', 'free', 'just']"
"['99', '10', '11', 'problem', 'charg', 'describ', 'issu', 'refund', 'kind', 'account', 'subscript', 'cancel', 'pro', 'wa', '12', 'thi', 'canva', 'pleas', 'request', 'use', 'trial', 'say', 'did', 'month', 'thank', 'invoic', 'number', 'taken', 'whi', 'hello']"
"['deduct', 'money', 'refund', 'account', 'number', 'problem', 'canva', 'cancel', 'request', 'invoic', 'subscript', 'pleas', 'reason', 'kind', 'wa', 'describ', 'need', 'use', 'trial', 'thi', 'ha', 'payment', 'issu', 'want', 'whi', 'automat', 'month', 'pro', 'got', 'today']"
"['sign', 'invoic', 'refund', 'did', 'reason', 'number', 'request', 'thi', 'pro', 'subscript', 'charg', 'didn', 'canva', 'year', 'realiz', 'know', 'pleas', 'servic', 'like', 'wa', 'use', 'recal', 'app', 'nov', 'hello', 'trial', 'cancel', 'open', 'want', 'sinc']"
"['period', 'trial', 'number', 'refund', 'dure', 'request', 'cancel', 'reason', 'invoic', 'subscript', 'use', 'wa', 'free', 'canva', 'thi', 'charg', 'like', 'did', 'account', 'hello', 'want', 'thank', 'pro', 'forgot', 'becaus', 'servic', 'onli', 'pleas', 'end', 'continu']"
"['unsubscrib', 'refund', 'number', 'request', 'invoic', 'reason', 'pleas', 'canva', 'plan', 'wa', 'want', 'charg', 'thank', 'pro', 'use', 'like', 'trial', 'account', 'problem', 'subscript', 'money', 'thi', 'month', 'afford', 'alreadi', 'befor', 'forgot', 'hi', 'help', 'sinc']"
