top_words
"['download', 'phone', 'issu', 'problem', 'kind', 'describ', 'help', 'design', 'need', 'app', 'canva', 'present', 'logo', 'explain', 'thi', 'pictur', 'ca', 'hi', 'load', 'free', 'contact', 'save', 'support', 'pleas', 'say', 'word', 'ani', 'wordpress', 'file', 'regard']"
"['text', 'problem', 'box', 'describ', 'type', 'kind', 'issu', 'group', 'number', 'ca', 'let', 'insert', 'align', 'help', 'write', 'element', 'select', 'add', 'color', 'enter', 'chang', 'word', 'need', 'canva', 'line', 'ani', 'click', 'appear', 'phone', 'unabl']"
"['code', 'error', 'issu', 'problem', 'kind', 'describ', 'help', 'coupon', 'canva', 'chromebook', 'need', 'templat', 'use', 'includ', 'emb', 'referr', 'thi', 'pleas', '500', 'open', 'month', 'got', 'tri', 'enter', 'promo', 'html', 'work', 'access', 'redeem', 'discount']"
"['let', 'wo', 'problem', 'kind', 'describ', 'issu', 'thing', 'pro', 'canva', 'help', 'write', 'say', 'design', 'select', 'wont', 'edit', 'tri', 'phone', 'need', 'open', 'devic', 'chang', 'group', 'anoth', 'word', 'app', 'introduc', 'continu', 'type', 'drag']"
"['relat', 'problem', 'hello', 'describ', 'trial', 'site', 'subscript', 'tell', 'applic', 'pleas', 'activ', 'answer', 'thank', 'ca', 'disabl', 'descript', 'version', 'want', 'inscript', 'card', 'whi', 'gradient', 'media', 'project', 'sampl', 'oper', 'photo', 'includ', 'write', 'fix']"
"['subscript', 'help', 'need', 'want', 'pro', 'activ', 'cancel', 'use', 'doe', 'someon', 'pleas', 'laptop', 'ca', 'resourc', 'check', 'rememb', 'account', 'canva', 'hi', 'issu', 'like', 'know', 'trial', 'mark', 'thi', '2022', 'end', 'googl', 'add', 'longer']"
"['previou', 'version', 'problem', 'like', 'cell', 'type', 'new', 'describ', 'phone', 'need', 'help', 'canva', 'updat', 'want', 'work', 'option', 'return', 'pleas', 'difficult', 'kind', 'app', 'thi', 'use', 'mobil', 'revert', 'bad', 'veri', 'issu', 'switch', 'thank']"
"['talk', 'someon', 'need', 'issu', 'repres', 'kind', 'problem', 'describ', 'help', 'like', 'pleas', 'want', 'number', 'regard', 'account', 'refund', 'canva', 'actual', 'subscript', 'thank', 'live', 'person', 'human', 'email', 'peopl', 'order', 'year', 'site', 'reach', 'tri']"
"['restor', 'team', 'problem', 'describ', 'kind', 'issu', 'pleas', 'type', 'comput', 'account', 'want', 'mb', 'group', 'design', 'bother', 'space', 'la', 'test', 'librari', 'profil', 'sorri', 'job', 'assist', 'page', 'eras', 'person', 'previou', 'babi', 'did', 'tri']"
"['id', 'request', 'jtp', 'support', 'number', 'issu', 'canva', 'pleas', 'hi', 'repli', 'ha', 'respons', 'kind', 'describ', 'problem', 'ticket', 'week', 'close', 'thi', 'respond', 'regard', 'heard', 'help', 'thank', 'email', 'previou', 'resolv', 'answer', 'wait', 'team']"
