top_words
"['previou', 'version', 'problem', 'want', 'like', 'describ', 'help', 'type', 'new', 'better', 'thi', 'kind', 'updat', 'revert', 'wa', 'pleas', 'return', 'need', 'save', 'bad', 'mobil', 'canva', 'work', 'chang', 'veri', 'switch', 'applic', 'app', 'hello', 'doe']"
"['good', 'afternoon', 'problem', 'save', 'type', 'morn', 'describ', 'design', 'thank', 'night', 'video', 'like', 'help', 'make', 'ca', 'thi', 'download', 'job', 'solv', 'happen', 'use', 'error', 'abl', 'canva', 'onli', 'hello', 'creat', 'unabl', 'chang', 'send']"
"['onli', 'save', 'problem', 'background', 'text', 'anim', 'video', 'describ', 'design', 'photo', 'imag', 'kind', 'download', 'doe', 'type', 'want', 'visibl', 'issu', 'appear', 'work', 'white', 'file', 'present', 'pictur', 'add', 'remain', 'empti', 'project', 'element', 'rest']"
"['pictur', 'save', 'problem', 'describ', 'kind', 'video', 'issu', 'design', 'download', 'doe', 'onli', 'phone', 'anim', 'photo', 'whi', 'insert', 'differ', 'explain', 'especi', 'creat', 'want', 'hello', 'profil', 'ca', 'music', 'pdf', 'vdo', 'relat', 'applic', 'chang']"
"['did', 'save', 'problem', 'describ', 'work', 'issu', 'kind', 'download', 'design', 'wa', 'ca', 'type', 'imag', 'tri', 'edit', 'appear', 'file', 'gone', 'alreadi', 'job', 'yesterday', 'help', 'like', 'make', 'just', 'comput', 'today', 'chang', 'explain', 'project']"
"['document', 'save', 'issu', 'problem', 'kind', 'describ', 'edit', 'tri', 'open', 'thi', 'error', 'want', 'creat', 'design', 'chang', 'page', 'word', 'ca', 'work', 'text', 'unabl', 'download', 'allow', 'canva', 'ha', 've', 'pleas', 'make', 'wa', 'hi']"
"['logo', 'save', 'problem', 'describ', 'kind', 'issu', 'video', 'doe', 'type', 'download', 'black', 'pleas', 'design', 'appear', 'creat', 'help', 'white', 'folder', 'transpar', 'chang', 'need', 'want', 'ca', 'colour', 'new', 'differ', 'imag', 'whi', 'make', 'hello']"
"['say', 'save', 'error', 'issu', 'kind', 'problem', 'describ', 'edit', 'design', 'let', 'tri', 'wont', 'ca', 'open', 'file', 'occur', 'document', 'chang', 'work', 'present', 'canva', 'manual', 'download', 'allow', 'time', 'ani', 'everi', 'continu', 'reload', 'unabl']"
"['know', 'save', 'problem', 'kind', 'describ', 'document', 'issu', 'dont', 'design', 'file', 'want', 'work', 'download', 'type', 'imag', 'comput', 'canva', 'pdf', 'anim', 'whi', 'brochur', 'report', 'just', 'drive', 'note', 'time', 'cover', 'poster', 'inform', 'thi']"
"['paus', 'save', 'problem', 'issu', 'kind', 'describ', 'say', 'download', 'type', 'manual', 'process', 'design', 'wa', 'unabl', 'wo', 'internet', 'let', 'bar', 'project', 'appear', 'work', 'tri', 'whi', 'hour', 'chang', 'report', 'messag', 'minut', 'state', 'statu']"
"['backup', 'type', 'problem', 'describ', 'save', 'record', 'hello', 'creation', 'work', 'file', 'ca', 'longer', 'chang', 'design', 'document', 'canva', 'thank', 'pdf', 'anymor', 'help', 'pleas', 'photo', 'doe', 'thi', 'paus', 'key', 'sever', 'return', 'present', 'comput']"
"['font', 'save', 'size', 'chang', 'problem', 'design', 'describ', 'kind', 'issu', 'differ', 'posit', 'imag', 'shift', 'creat', 'file', 'everyth', 'complet', 'thi', 'type', 'match', 'download', 'time', 'doe', 'place', 'whi', 'decreas', 'result', 'line', 'app', 'work']"
"['unabl', 'save', 'problem', 'issu', 'describ', 'kind', 'download', 'edit', 'design', 'type', 'work', 'error', 'chang', 'file', 'video', 'make', 'open', 'say', 'creat', 'dowload', 'canva', 'new', 'hi', 'element', 'present', 'messag', 'continu', 'access', 'word', 'tag']"
"['editor', 'lock', 'save', 'chang', 'becaus', 'work', 'issu', 'problem', 've', 'messag', 'kind', 'say', 'edit', 'describ', 'thi', 'continu', 'lose', 'help', 'pleas', 'connect', 'canva', 'account', 'error', 'websocket', 'download', 'ca', 'ha', 'tri', 'need', 'warn']"
